id	POP1	POP2	POP3
100-4312	0.049950942	0.661311102	0.288737956
100	0.327484809	0.628525359	0.043989832
101-4338	0.23958347	0.577084762	0.183331768
101	0.127293017	0.872706982	0.000000001
102-4348	0.000000001	0.87060078	0.129399219
102	0.296482006	0.703285473	0.000232521
103-4369	0.06055697	0.668829078	0.270613952
103	0.117963888	0.836770697	0.045265415
104-4269	0.062266427	0.906644982	0.031088591
104	0.094164434	0.903962696	0.00187287
105-4272	0.021424766	0.949071991	0.029503244
105	0.330868141	0.653514192	0.015617667
106-4292	0.274267676	0.572012388	0.153719936
10-663	0.035604368	0	0.964395631
106	0.314648798	0.685351201	0.000000001
107-4293	0.071076433	0.826713867	0.1022097
107	0.159985845	0.840014154	0.000000001
108-4294	0.131590946	0.489260671	0.379148383
108	0	0.999999998	0
109-4314	0.126263586	0.651076393	0.222660021
109	0.031111938	0.968888061	0.000000001
10	0.86327491	0	0.136725089
110-4327	0.071846136	0.665247051	0.262906813
110	0.651896012	0.337562338	0.01054165
111-4361	0.060835405	0.802056374	0.137108221
111	0.422564927	0.577435072	0.000000001
112	0.402282361	0.597717638	0.000000001
113-4129	0.131366648	0	0.868633351
113	0.238390011	0.736742824	0.024867166
114-4277	0.14565682	0.583166128	0.271177053
114	0.277972777	0.615905755	0.106121468
115-4283	0.091663985	0.64967298	0.258663035
115	0.105472503	0.894527496	0.000000001
116-4285	0.107156218	0.627689429	0.265154353
116	0.085810842	0.895455878	0.018733281
11-707	0.124266063	0	0.875733936
117-4291	0.162076635	0.219764341	0.618159024
117	0.158671779	0.841313114	1.51073E-05
118-4104	0.219375843	0	0.780624156
118	0.099049952	0.897483986	0.003466062
119-4109	0	0	0.999999998
119	0.104303561	0.895696438	0.000000001
11	0.999999998	0	0
120-4116	0.0017505	0	0.998249499
120	0.533027244	0.441346311	0.025626445
121-4140	0.07392532	0	0.926074679
121	0.273336696	0.67812473	0.048538573
122-4148	0.384834986	0.237903047	0.377261967
122	0.238934871	0.742631039	0.01843409
123-4181	0.040046562	0	0.959953437
123	0.409441885	0.541114405	0.049443711
124-4086	0.086342279	0	0.91365772
124	0.481690238	0.518309761	0.000000001
125	0.242043212	0.731737488	0.0262193
126-8392	0.106991882	0	0.893008117
126	0.712269172	0.270223706	0.017507121
12-708	0.079801762	0	0.920198237
127-8457	0.091338424	0	0.908661575
127	0.130112894	0.869887105	0.000000001
128-4151	0	0	0.999999998
128	0.489424487	0.408499774	0.10207574
129-4154	0.18687339	0	0.813126609
129	0.29850803	0.669216969	0.032275001
12	0.842171187	0	0.157828812
130-4158	0.158240575	0	0.841759424
130	0.172045385	0.827954614	0.000000001
