"az_early_az_late","az_early_tx_early","az_early_tx_late","az_late_tx_early","az_late_tx_late","tx_early_tx_late","az_early_az_late-pval","az_early_tx_early-pval","az_early_tx_late-pval","az_late_tx_early-pval","az_late_tx_late-pval","tx_early_tx_late-pval"
"GB43015",0,0,0,0,0,0,1,1,1,1,1,1
"GB43016",0.0574121530122713,0.00232119411129128,0.0711060137921977,0.0313136399995395,0.0012999698103352,0.0470833141864856,0,0.243,0,0,0.25,0
"GB43017",0.0489251989369154,0.0117177512582262,0.0674439121906828,0.0395230903328017,0.00218610496098026,0.0504268353406168,0,0.007,0,0,0.105,0
"GB43018",0.0239191747440375,0.00587392703476386,0.0231625386901522,0.0170703030307452,0.00245100380546615,0.00974006408245354,0,0.023,0,0,0.064,0
"GB43019",0.00501515522104323,0.00401996666100291,0.00498540620703147,0.00622522916042301,0.000291123154438022,0.0045853229894508,0,0.001,0,0,0.231,0
"GB43020",0.00155194375902379,0.00197141495856434,0.0012986348477888,0.00223632632361526,0.000130280817682848,0.00124205908251218,0.004,0,0.009,0,0.296,0
"GB43051",0,0,0,0,0,0,1,1,1,1,1,1
"GB43052",-6.36950188137586e-05,8.78533638375423e-05,0.000136798905608693,0.000102428734192972,-2.81729821101084e-05,0.000366300366300365,0.597,0.222,0.154,0.12,0.591,0.003
"GB43053",0.00204240027350766,0.00302080311656483,0.00203915883925321,0.00304267689912974,0.00119404728646932,0.00207119372164544,0,0,0,0,0.004,0
"GB43054",0,0,0,0,0,0,1,1,1,1,1,1
"GB40213",0.0100778907637475,0.00396391061254708,0.0120901623675904,0.00756313702265621,0.0003904745711939,0.00559636009491082,0,0.01,0,0,0.254,0
"GB43077",0.00090356203771591,0.00175657105284199,0.00127708095781065,0.00194717055661431,1.00969601309897e-05,0.00168528407177559,0.014,0,0.002,0,0.405,0
"GB43081",0.124134738113248,0.0326032538587377,0.126170730186444,0.201897633137219,-0.0007082480324756,0.200910983785163,0,0,0,0,0.481,0
"GB43083",0.0304744970250623,0.0548411755496,0.00747400356243366,0.123180234761339,0.0081098857055113,0.0733074360871802,0.01,0,0.133,0,0.069,0
"GB43084",0.000136798905608693,0.000162963217487322,0.000136798905608693,2.61643118786292e-05,0,2.61643118786292e-05,0.03,0.003,0.03,0.226,0.729,0.117
"GB43085",0.0234152943508311,0.0130261562022935,0.0200652138767902,0.0407149720707793,0.00117612120395283,0.0309444408828794,0,0.002,0,0,0.188,0
"GB43086",0.0711283155042942,0.0139923094536327,0.0643342262433378,0.0385984009132709,0.000901384723059895,0.0323273013542489,0,0,0,0,0.219,0
"GB43087",0.000887234201707887,0.00073204309462116,0.00125545005492178,0.000452616465984046,0.000191262587895258,0.000729499367888353,0.003,0.005,0,0.007,0.087,0
"GB43088",0.017263873248876,0.0147498641401568,0.0178687118583355,0.0385487244451815,0.00108325112078744,0.0304177337308882,0,0,0,0,0.181,0
"GB43089",0.000986895353790818,0.00218559188719747,0.000844941023723011,0.00130102878238703,0.000133912678603965,0.00165350889939075,0.005,0,0.008,0,0.21,0
"GB43090",0.0952778500345766,0.0229533889436598,0.0694854454723024,0.113061853922867,0.00122900211756172,0.0855019344281146,0,0.002,0,0,0.27,0
"GB40216",0.0700594621043117,0.0465993067900237,0.0862104308699541,0.014447646341138,0.00197989446278402,0.0123536506796147,0,0,0,0.001,0.126,0
"GB43091",0.0123088025195474,0.00825394120959988,0.00995607041085655,0.0124516996403492,0.00222084485203822,0.0101578859839075,0,0,0,0,0.021,0
"GB43092",0.0253256792653687,-0.00013355052155517,0.0284240594722323,0.031866048494412,0.00192665689072002,0.0314497823288882,0,0.46,0,0,0.082,0
"GB43093",0.01866072569596,0.0111638435723596,0.0220268909888502,0.00798267090389293,0.000803720998669544,0.00741242092655736,0,0,0,0,0.147,0
"GB43094",0.0245452241565733,0.0105736595787215,0.0281795228402762,0.00742891281067171,0.000883767975379035,0.00801157638431527,0,0,0,0,0.118,0
"GB43095",0.00948097270580972,0.00342805107782196,0.0114581625133116,0.00824671068104532,0.00126517138681714,0.00822402725909355,0,0.009,0,0,0.059,0
"GB43096",0.000236460057691623,0.00105097380477515,7.98039103915293e-05,0.000635518657165601,-1.30290698090452e-05,0.000876360774291984,0.161,0.003,0.306,0.001,0.488,0
"GB43097",NA,0.0358974358974358,NA,0.0358974358974358,NA,0.0358974358974358,NA,NA,NA,NA,NA,0
"GB43098",-0.00742868336738867,-0.00807169061389268,-0.00354479248925155,-0.00231833207727283,0.00581596640930326,-0.00252696249332085,0.723,0.826,0.447,0.45,0.153,0.5
"GB43110",0.000373258963300427,0.000580606566611741,0.000190528615802821,8.48068881212916e-05,7.55263284643037e-05,0.000211129222816853,0.036,0.002,0.128,0.202,0.247,0.045
"GB43111",0.000750099139477767,0.00200191639318403,0.000267726334803986,0.00198434852636142,0.000144967583308064,0.00155710603349712,0.023,0.001,0.163,0,0.193,0
"GB40219",0.00109407807534678,0.0013623569613872,0.000757642379647816,0.00137153881656904,0.000299884368868075,0.00114950714501183,0.003,0.002,0.016,0,0.066,0
"GB43112",0.0168817267396522,0.0129933967677244,0.0158998682264571,0.0188053363545063,0.00302412216522596,0.0139046832726984,0,0,0,0,0.015,0
"GB43114",0.0869687417978238,0.00713636719505251,0.110103797191974,0.0482776669290136,0.00200235602025867,0.0663454635031886,0,0.066,0,0,0.183,0
"GB43115",0.0671105461701256,0.0216321632311409,0.0728831084732007,0.0509452138936839,0.00157057759064438,0.0424369234857613,0,0.006,0,0,0.221,0
"GB43116",0.0915372697196268,0.0567706208917367,0.114380068763733,0.0296026627697527,0.00331405014956843,0.0294482040791071,0,0,0,0,0.076,0
"GB43119",0,2.61643118786292e-05,0,2.61643118786292e-05,0,2.61643118786292e-05,0.923,0.105,0.922,0.144,0.823,0.086
"GB43120",0.00292901238932697,0.00636177708272345,0.00291154726171627,0.00754438495289256,0.00115225954714582,0.00565123021836733,0.004,0,0.001,0,0.021,0
"GB43122",0.130690378507969,0.00082680111888489,0.120092397977233,0.157686921951437,0.000493220023294105,0.147553180011238,0,0.326,0,0,0.328,0
"GB43123",-3.36089135473117e-05,0.000130821559392924,0,0.000134723820145344,3.32203840276435e-05,0.000105814201804999,0.718,0.078,0.567,0.006,0.248,0.018
"GB43129",0.00768707888954467,0.00605167715612398,0.00829975304781527,0.00453706865420844,0.000338891084842974,0.00322913384256396,0,0,0,0,0.202,0
"GB43130",0,0,0,0,0,0,1,1,1,1,1,1
"GB40225",0.00530298395282669,0.00811908955722418,0.00641016008093409,0.00563898993667444,0.00102051087724953,0.00415076813166615,0,0,0,0,0.038,0
"GB43136",0.0283417877701388,0.012409800396462,0.0315129793220218,0.0234426650949743,-0.000231578473627314,0.0245101641459721,0,0,0,0,0.479,0
"GB43137",0.0128185317327417,0.00354119608995618,0.0121226622994414,0.0131660827578398,2.17250282324999e-05,0.0105740829020203,0,0.008,0,0,0.428,0
"GB43138",0.000779738310628497,0.000421621117534965,0.000571343212505626,0.000284871311950652,0.000144017753782699,2.64575292302505e-05,0,0.011,0.001,0.003,0.051,0.29
